src	trg	degree
Blæst	Mads Dyrst	20
Blæst	Frederik Nordsø	30
Blæst	Fridolin Nordsø	32
Blæst	Lauge Kjærulf	20
Blæst	Karl-Frederik Reichhardt	24
Blæst	Kvindelandsholdet	20
Blæst	Artigeardit	83
Blæst	Emil Falk	27
Blæst	Dusin	20
Blæst	SVEA	21
Blæst	Fernanda Rosa	20
Blæst	Anders Bondo	20
Blæst	Branco	115
KESI	B.O.C	79
KESI	Gilli	150
KESI	Sivas	95
KESI	Hennedub	85
KESI	Benny Jamz	127
KESI	Branco	168
KESI	Don Stefano	79
KESI	Hans Philip	130
KESI	Nicki Pooyandeh	89
KESI	Lamin	88
KESI	MAS	81
KESI	Kundo	76
KESI	Kimbo	81
KESI	MellemFingaMuzik	97
KESI	Young (DNK)	79
KESI	KIDD (DNK)	82
KESI	Jesper “Vivid” Vestergaard	78
KESI	Carl Barsk	80
KESI	Jens Ole McCoy	84
KESI	Noah Carter	118
KESI	Stepz (DNK)	84
KESI	Emil Ekelund	73
KESI	Mass Ebdrup	79
KESI	Rasmus Seebach	103
KESI	Skinz (DNK)	79
KESI	ICEKIID	126
KESI	Artigeardit	136
KESI	Semphiz	84
KESI	Stat-Ez	80
KESI	Jada	78
KESI	​​andreas odbjerg	80
KESI	Rob & Jenne	81
KESI	Asmus Harm	81
KESI	Chords	73
KESI	Lord Siva	118
KESI	Barbara Moleko	79
KESI	Adam Sampler	75
KESI	Clemens	79
KESI	Ataf Khawaja	81
KESI	ATYPISK	116
KESI	Lea Romea	75
KESI	Suriya	73
KESI	Emil Harm	82
KESI	KayReem Sylvest	76
KESI	​Johnson	79
KESI	Thor Farlov	111
KESI	Sofia Storck	73
KESI	Anton Westerlin	146
KESI	Emil Goll	73
KESI	Orgi-E	86
KESI	Faza	73
KESI	August Rosenbaum	77
KESI	​tais	80
KESI	Ish (DNK)	75
KESI	BAYA	74
KESI	DJ Phil	74
KESI	MAISHA (DNK)	74
KESI	Pernille Rosendahl	73
KESI	Sara Sadiq Frost	74
KESI	Wafande	80
KESI	Bai-D	79
KESI	Burhan G	153
KESI	Tessa	121
KESI	Tobias Rahim	130
KESI	Nik & Jay	111
KESI	Anthon Edwards	119
KESI	Brandon Beal	131
KESI	TopGunn	151
KESI	Xander Linnet	131
KESI	Carmon	135
KESI	Citybois	102
Gilli	Jens Ole McCoy	90
Gilli	MellemFingaMuzik	103
Gilli	Benny Jamz	133
Gilli	Hennedub	91
Gilli	NODE	104
Gilli	B.O.C	85
Gilli	Sivas	101
Gilli	Nicki Pooyandeh	95
Gilli	Branco	174
Gilli	Lukas Graham	88
Gilli	Murro	85
Gilli	6ix9ine	82
Gilli	KEWAN LIGGER BEATET NORMALT	97
Gilli	ICEKIID	132
Gilli	Noah Carter	124
Gilli	Kimbo	87
Gilli	Semphiz	90
Gilli	Toko	79
Gilli	Young (DNK)	85
Gilli	KIDD (DNK)	88
Gilli	Stepz (DNK)	90
Gilli	Lamin	94
Gilli	T&O	90
Gilli	Benjamin Hav	164
Gilli	Skurken	88
Gilli	Mr Eazi	79
Gilli	JOSVA	84
Gilli	K.N.O.X. (DNK)	84
Gilli	Gio (DNK)	90
Gilli	Tjes	84
Gilli	Sultan	84
Gilli	Ataf Khawaja	87
Gilli	ATYPISK	122
Gilli	Stat-Ez	86
Gilli	Mass Ebdrup	85
Gilli	Danny Davinci	84
Gilli	Amina	80
