src	trg	degree
Artigeardit	MIC (DNK)	66
Artigeardit	LEVON	67
Artigeardit	KEWAN LIGGER BEATET NORMALT	83
Artigeardit	Marcus Gordon	66
Artigeardit	Barselona	75
Artigeardit	Marius Iversen	66
Artigeardit	Alfred Thomas	67
Artigeardit	Karl William	101
Artigeardit	Orgi-E	78
Artigeardit	Carl Knast	69
Artigeardit	JOSVA	70
Artigeardit	Sivas	87
Artigeardit	Lukas Graham	74
Artigeardit	Vera	69
Artigeardit	MØ	66
Artigeardit	Balken	68
Artigeardit	Christos (DNK)	65
Artigeardit	Medina (DNK)	70
Artigeardit	ICEKIID	118
Artigeardit	Gordon Ramz	68
Artigeardit	Carmon	127
Artigeardit	Ida Laurberg	67
Artigeardit	MAS	73
Artigeardit	FRAADS	65
Artigeardit	Noah Carter	110
Artigeardit	Awinbeh	67
Artigeardit	Jamie Kamara	67
Artigeardit	Murro	71
Artigeardit	Lord Siva	110
Artigeardit	Gio (DNK)	76
Artigeardit	Jimilian	108
Artigeardit	Jelassi	66
Artigeardit	CC (DNK)	65
Artigeardit	​​andreas odbjerg	72
Artigeardit	Lea Romea	67
Artigeardit	GUSTO (DNK)	65
Artigeardit	Fazli	65
Artigeardit	Moon Afflick	67
Artigeardit	Edon	65
Artigeardit	Nicki Pooyandeh	81
Artigeardit	Barbara Moleko	71
Artigeardit	August Høyen	67
Artigeardit	Bette	68
Artigeardit	Jens Ole McCoy	76
Artigeardit	Johnny Juliano	65
Artigeardit	Cardo Got Wings	65
Artigeardit	Livid	74
Artigeardit	Hans Philip	122
Artigeardit	Branco	160
Artigeardit	Ankerstjerne	134
Artigeardit	Pede B	251
Nik & Jay	Jon & Jules	44
Nik & Jay	Jannik “Jay” Thomsen	41
Nik & Jay	Niclas “Nik” Petersen	41
Nik & Jay	Andreas “Maskinen” Sommer	46
Nik & Jay	Thomas Anderson	40
Nik & Jay	Puma	42
Nik & Jay	Claus Holm	40
Nik & Jay	MORTEN (DNK)	42
Nik & Jay	Rewan Riko	40
Nik & Jay	Julie Berthelsen	40
Nik & Jay	Landsholdet	41
Nik & Jay	Young (DNK)	46
Nik & Jay	KIDD (DNK)	49
Nik & Jay	Seebach & Seebach	45
Nik & Jay	Peter Biker	43
Nik & Jay	Remee	44
Nik & Jay	Niels Kirk	42
Nik & Jay	L.O.C.	50
Nik & Jay	Klaus Christensen	40
Nik & Jay	Lisa Rowe	40
Nik & Jay	Søren Huss	41
Nik & Jay	Seeloya	40
Nik & Jay	Tony Lavidas	40
Nik & Jay	Thomas Andersson	40
Nik & Jay	Eivør	42
Nik & Jay	Kristian Leth	41
Nik & Jay	Kasper Falkenberg	41
Nik & Jay	De Dødelige	40
Nik & Jay	When Saints Go Machine	40
Nik & Jay	Scarlet Pleasure	42
Nik & Jay	Thomas Hørby Andersson	40
Nik & Jay	Heino Hansen	40
Nik & Jay	ChriZ	40
Nik & Jay	Chriz & Heino	41
Hans Philip	Jens Ole McCoy	70
Hans Philip	Sivas	81
Hans Philip	Jesper “Vivid” Vestergaard	64
Hans Philip	Murro	65
Hans Philip	T-Minus	60
Hans Philip	Ish (DNK)	61
Hans Philip	​tais	66
Hans Philip	Tue Track	66
Hans Philip	Lord Siva	104
Hans Philip	David Lincoln	60
Hans Philip	Rebecca Christel	60
Hans Philip	Don Stefano	65
Hans Philip	Kimbo	67
Hans Philip	Semphiz	70
Hans Philip	Silas Moldenhawer	60
Hans Philip	Nick Kold Eriksen	60
Hans Philip	KOPS	59
Hans Philip	Ghost Notes	60
Hans Philip	Morten McCoy	61
Hans Philip	Christian Rohde Lindinger	59
Hans Philip	Stepz (DNK)	70
Hans Philip	K.N.O.X. (DNK)	64
Hans Philip	Gio (DNK)	70
Hans Philip	Branco	154
Hans Philip	Tjes	64
Hans Philip	Sultan	64
Hans Philip	Ataf Khawaja	67
Hans Philip	ATYPISK	102
Hans Philip	Stat-Ez	66
Hans Philip	Skurken	68
Hans Philip	Mass Ebdrup	65
Hans Philip	Danny Davinci	64
Hans Philip	Hennedub	71
Hans Philip	Mathias Klysner	61
Hans Philip	Mads Muurholm	60
Hans Philip	Wahid Zaferan	59
Hans Philip	Carl Barsk	66
Hans Philip	Caroline Henderson	60
Hans Philip	Andreas Murga	62
Hans Philip	Lamin	74
Hans Philip	Rob & Jenne	67
Hans Philip	August Rosenbaum	63
Hans Philip	Bertram Levin	60
Hans Philip	Skørmand	60
Hans Philip	TopGunn	137
Hans Philip	Noah Carter	104
Hans Philip	Albert Von Bülow	59
Hans Philip	Christian Balvig	59
Hans Philip	Jonathan Schultz (DNK)	60
Hans Philip	Matsmoments	60
Hans Philip	Musti Mousetee	61
Hans Philip	DJ Noize	63
Hans Philip	The Minds Of 99	71
Anton Westerlin	Lamin	90
Anton Westerlin	Houli	75
Anton Westerlin	ProdbyTY	75
Anton Westerlin	Frederik Thaae	83
Anton Westerlin	Adam Hillebrandt	83
Anton Westerlin	B.O.C	81
Anton Westerlin	Annika	75
Anton Westerlin	Kayvahn	75
Anton Westerlin	Noah Carter	120
Anton Westerlin	ozzy	76
Anton Westerlin	JOSVA	80
Anton Westerlin	ICEKIID	128
Anton Westerlin	Sivas	97
Anton Westerlin	Pil (DNK)	76
Anton Westerlin	Mille	76
Anton Westerlin	Medina (DNK)	80
Anton Westerlin	Nolan Sarnicki	76
Anton Westerlin	Frank Moses	76
Anton Westerlin	Kundo	78
Anton Westerlin	Encore (Producer)	76
Anton Westerlin	Alibi (Producer)	76
Anton Westerlin	Kristian Rose	76
Anton Westerlin	Carl Altino	78
Anton Westerlin	Ida Laurberg	77
Anton Westerlin	Emil Falk	82
Anton Westerlin	PAY (DNK)	77
Anton Westerlin	Jay Made	78
Anton Westerlin	Oliver Zoéga	77
Anton Westerlin	Karl William	111
Anton Westerlin	MAS	83
Anton Westerlin	Feels	75
Anton Westerlin	Chanelbigs	77
Anton Westerlin	Gio (DNK)	86
Anton Westerlin	Jelassi	76
Anton Westerlin	Thor Farlov	113
Anton Westerlin	Clara Sofie	79
Anton Westerlin	Marcus Gordon	76
Anton Westerlin	JEFF3	75
Anton Westerlin	​Johnson	81
Anton Westerlin	Jacobsen	76
Anton Westerlin	Gordon Ramz	78
Anton Westerlin	​​andreas odbjerg	82
Anton Westerlin	Lea Romea	77
Anton Westerlin	Lord Siva	120
Anton Westerlin	Asmus Harm	83
Anton Westerlin	Emil Harm	84
Anton Westerlin	Martin René	76
Anton Westerlin	DjAry	75
Anton Westerlin	Sira Jovina	76
Anton Westerlin	​wicky	76
Anton Westerlin	RH	77
Anton Westerlin	MAISHA (DNK)	76
Anton Westerlin	August Høyen	77
Anton Westerlin	Bette	78
Anton Westerlin	Marius Iversen	76
Anton Westerlin	Sara Sadiq Frost	76
Anton Westerlin	Basim	75
Anton Westerlin	BASTIAAN	75
Anton Westerlin	Søren Elsborg	75
Anton Westerlin	Stefan Luth	75
Anton Westerlin	Sons of Sonix	75
Anton Westerlin	Anthon Edwards	121
Anton Westerlin	Østen	86
Anton Westerlin	Carmon	137
Anton Westerlin	Jimilian	118
Noah Carter	Branco	142
Noah Carter	Hennedub	59
Noah Carter	Jens Ole McCoy	58
Noah Carter	ICEKIID	100
Noah Carter	Sivas	69
Noah Carter	Lamin	62
Noah Carter	B.O.C	53
Noah Carter	Kimbo	55
Noah Carter	Semphiz	58
Noah Carter	Stat-Ez	54
Noah Carter	Adam Hillebrandt	55
Noah Carter	Hossy	54
Noah Carter	Rob & Jenne	55
Noah Carter	Reza	50
Noah Carter	ozzy	48
Noah Carter	Noodle	48
Noah Carter	Fresh-I	51
Noah Carter	Nicki Pooyandeh	63
Noah Carter	Ella Augusta	49
Noah Carter	Harm Brothers	52
Noah Carter	NS Luko	47
Noah Carter	Asmus Harm	55
Noah Carter	Emil Harm	56
Noah Carter	MAS	55
Noah Carter	Vera	51
Noah Carter	School of X	47
Noah Carter	Sira Jovina	48
Noah Carter	Urban Nerd	47
Noah Carter	T&O	58
Noah Carter	Thor Farlov	85
Noah Carter	Chanelbigs	49
Noah Carter	Prod Villa	47
Noah Carter	August Rosenbaum	51
Noah Carter	JEURU	47
Noah Carter	Columbus Marslew	48
Noah Carter	​tais	54
Noah Carter	Sun God	47
Noah Carter	Freja Kirk	64
Noah Carter	Carmon	109
Noah Carter	Lord Siva	92
Shu-Bi-Dua	Per Stan	9
Shu-Bi-Dua	Holger Drachmann	8
Shu-Bi-Dua	DR Radiounderholdningsorkestret	8
Shu-Bi-Dua	Simon Sigfridsson	10
Shu-Bi-Dua	Andreas “Maskinen” Sommer	14
Shu-Bi-Dua	Seebach & Seebach	13
Shu-Bi-Dua	Bent Fabric	8
Branco	MellemFingaMuzik	121
Branco	Larry (DNK)	101
Branco	Nicki Pooyandeh	113
Branco	Livid	106
Branco	Joshua Duncan	98
Branco	Tobias Aldin	97
Branco	T&O	108
Branco	Pepsi	98
Branco	Sivas	119
Branco	Kamelen	98
Branco	Stepz (DNK)	108
Branco	Skurken	106
Branco	Reza	100
Branco	Apobeats (DNK)	100
Branco	Lukas Graham	106
Branco	K.N.O.X. (DNK)	102
Branco	Gio (DNK)	108
Branco	Semphiz	108
Branco	Tjes	102
Branco	Sultan	102
Branco	Ataf Khawaja	105
Branco	ATYPISK	140
Branco	Stat-Ez	104
Branco	Mass Ebdrup	103
Branco	Kimbo	105
Branco	Danny Davinci	102
Branco	Amina	98
Branco	Nafe Smallz	98
Branco	Daks (FRA)	98
Branco	Kasper Svare	101
Branco	KEWAN LIGGER BEATET NORMALT	115
Branco	David Benja	99
Branco	Villads Sofus Bertelsen	100
Branco	Kojo Funds	97
Branco	Akhee	99
Branco	Dree Low	98
Branco	Yasin	98
Branco	Trey & Zay	97
Branco	Oskar Sveidahl Svarre	97
Branco	Yung Vilhelm	98
Branco	Jimilian	140
Branco	ICEKIID	150
Branco	Jamaika	133
Branco	Søren-William Hardam Nohns	101
Branco	Esben Zefting	101
Branco	Makalo	97
Branco	Ramz (DNK)	98
Branco	ManLikeDeniz	98
Branco	Dayme	98
Branco	Miklo Demir	97
Branco	Sami Avci	97
Branco	Carmon	159
Branco	BackRoad Gee	98
Branco	Adel	97
Branco	Headie One	97
Branco	Rob & Jenne	105
Branco	Mastermind	97
Branco	Straynané	97
Branco	Vory	97
Branco	NODE	122
Branco	M Huncho	97
Branco	Fabe (FIN)	97
Branco	T Swoop	97
Branco	LEVON	99
Branco	Samir Wadi	97
Branco	Young (DNK)	103
Branco	AMRO	99
Branco	Salazar (DNK)	100
Branco	Barbara Moleko	103
Branco	MC Meller	97
Branco	Mund de Carlo	98
Branco	Ali Sufi	97
Branco	Loke Deph	102
Branco	Marconi	97
Branco	Danni	99
Branco	Marco Rahim	100
Branco	Vinylz	98
Branco	Boi-1da	98
Branco	Ahdam	97
Branco	Akiba (DNK)	97
Branco	Tau Mau	99
Branco	Ricky Rich	100
Branco	Central Cee	97
Branco	Mind (MOB79)	97
Branco	8/80	97
Branco	TopGunn	175
Emil Kruse	Jens Ole McCoy	51
Emil Kruse	ELOQ	47
Emil Kruse	Pind	42
Emil Kruse	Niels Kirk	42
Emil Kruse	Lasse Joen Sørensen	41
Emil Kruse	Esben Iversen	41
Emil Kruse	​​andreas odbjerg	47
Emil Kruse	Wads	42
Emil Kruse	KIDD (DNK)	49
Emil Kruse	OK OK	41
Emil Kruse	KÅ (DNK)	43
Emil Kruse	Benny Andersen	40
Emil Kruse	Jacob Bellens	40
Emil Kruse	PS (DNK)	40
Emil Kruse	​larry lovløs	41
Emil Kruse	Daniel Scheffmann	41
Emil Kruse	Bette	43
Emil Kruse	Mads Jensen	40
Emil Kruse	Anthon Edwards	86
Emil Kruse	Stanley Most	43
Emil Kruse	Louis Winding	44
Emil Kruse	Victor Støve	41
Emil Kruse	Kay (DNK)	40
Emil Kruse	Papa Erotic	40
Emil Kruse	August Rosenbaum	44
Emil Kruse	Asmus Harm	48
Emil Kruse	Emil Harm	49
Emil Kruse	Theodor Tang-Peronard	40
Emil Kruse	Jesper Flinker	40
Emil Kruse	Magnus Haulund Olesen	40
Emil Kruse	Kåre Lundager	40
Emil Kruse	Banzai	40
Emil Kruse	Sheraz	41
Emil Kruse	Diplomat	40
Emil Kruse	Page (DNK)	40
Emil Kruse	Lennart Bahnsen	40
Emil Kruse	Philip Bøg Steffensen	40
Anthon Edwards	Carl Barsk	55
Anthon Edwards	Mads Lundegaard	51
Anthon Edwards	Jeppe London	51
Anthon Edwards	TopGunn	126
Anthon Edwards	ICEKIID	101
Anthon Edwards	Skinz (DNK)	54
Anthon Edwards	SLY	52
Anthon Edwards	Citybois	77
Anthon Edwards	Rasmus Stabell	50
Anthon Edwards	Harm Brothers	53
Anthon Edwards	Lil Producer	51
Anthon Edwards	Young Bong	50
Anthon Edwards	Emil Stabil	50
Anthon Edwards	BUBU (DNK)	53
Anthon Edwards	LukasBL	54
Anthon Edwards	Hossy	55
Anthon Edwards	Michael Williams	50
Anthon Edwards	Providers	54
Anthon Edwards	Victor Støve	49
Anthon Edwards	Jonathan Elkær	55
Anthon Edwards	Nicki Pooyandeh	64
Anthon Edwards	MAS	56
Anthon Edwards	​milo (DNK)	48
Anthon Edwards	Daniel Schulz	49
Anthon Edwards	Sigvardt	49
Anthon Edwards	Rob & Jenne	56
Anthon Edwards	Thøger Dixgaard	51
Anthon Edwards	Samuel Ledet	51
Anthon Edwards	Frederik Nordsø	58
Anthon Edwards	Fridolin Nordsø	60
Anthon Edwards	Louis Nordsø	50
Anthon Edwards	Tice (DNK)	52
Anthon Edwards	OK OK	49
Anthon Edwards	Ulrik Schultz	50
Anthon Edwards	Oliver Cilwik	54
Anthon Edwards	Emil Harm	57
Anthon Edwards	Celine Svanbäck	48
Anthon Edwards	Asmus Harm	56
Anthon Edwards	Peter Biker	51
Anthon Edwards	Adam Hillebrandt	56
Anthon Edwards	SVEA	49
Anthon Edwards	Erann DD	48
Anthon Edwards	Karl William	84
Brandon Beal	Christopher	65
Brandon Beal	HEDEGAARD	66
Brandon Beal	Nicklas Elmark	60
Brandon Beal	6ix9ine	63
Brandon Beal	Future Animals	61
Brandon Beal	Needlz	60
Brandon Beal	TMS	60
Brandon Beal	Morten “Pilo” Pilegaard	61
Brandon Beal	Morten “Rissi” Ristorp	61
Brandon Beal	Jay Made	63
Brandon Beal	Victor Thell	60
Brandon Beal	Matt Hawk	60
Brandon Beal	Lukas Graham	69
Brandon Beal	Dawin	60
Brandon Beal	David “Dehiro” Mørup	62
Brandon Beal	Olivia Holt	60
Brandon Beal	Wiz Khalifa	60
Brandon Beal	Jim Wirt	60
Brandon Beal	Jayrah Gibson	60
Brandon Beal	ELOQ	67
Brandon Beal	Fridolin Nordsø	72
Brandon Beal	Frederik Nordsø	70
Brandon Beal	Melii	60
Brandon Beal	Tyler Spry	60
Brandon Beal	Fraser Churchill	60
Brandon Beal	Markus Artved	60
Brandon Beal	Jeff “Gitty” Gitelman	60
Brandon Beal	Boombby	60
Brandon Beal	Hennedub	72
Brandon Beal	Wale	60
Brandon Beal	David LaBrel	60
Brandon Beal	Jimilian	103
Brandon Beal	Joe Kearns	60
Brandon Beal	Phil Cook (Producer)	60
Brandon Beal	TopGunn	138
Brandon Beal	Snoop Dogg	60
Brandon Beal	Jon & Jules	64
Brandon Beal	Pilfinger	67
Brandon Beal	Michael Pærremand	61
Brandon Beal	Sami Brielle	60
Brandon Beal	Hektor Mass	60
Brandon Beal	Xander Linnet	118
Brandon Beal	Furrer	60
Brandon Beal	Anders Nilsen	60
Brandon Beal	Jason Gill	60
Brandon Beal	Pitchshifters	62
Brandon Beal	Martin Jensen	60
Brandon Beal	Victoria Nadine	60
Brandon Beal	Calby	60
Brandon Beal	Lenny Martinez	60
Brandon Beal	Bai-D	66
Brandon Beal	Johannes “Josh” Jørgensen	60
Brandon Beal	Roxy Ferrari	60
Brandon Beal	YAKO (EDM)	60
Brandon Beal	KROMI	60
Brandon Beal	Matrax Productions	60
Brandon Beal	Multiman	60
Brandon Beal	Søren Mikkelsen	62
Go Go Berlin	Søren Christensen	19
Go Go Berlin	Peter Kjædegaard	17
Go Go Berlin	Anders Søndergaard	17
Go Go Berlin	Christian Vium	17
Go Go Berlin	Christoffer Møller Østergaard	17
Go Go Berlin	Julie Ellinor	17
Go Go Berlin	Mikkel Dyrehave Hansen	17
Go Go Berlin	Tim Schou	17
Go Go Berlin	Nick Foss	17
Go Go Berlin	Lukas Forchhammer	19
Go Go Berlin	Don Stefano	23
Go Go Berlin	Morten “Rissi” Ristorp	18
Go Go Berlin	Morten “Pilo” Pilegaard	18
Go Go Berlin	James Ghaleb	17
Go Go Berlin	Justin Parker	17
Go Go Berlin	Mikky Ekko	17
Ankerstjerne	Frida Brygmann	72
Ankerstjerne	PhD	72
Ankerstjerne	Seebach & Seebach	76
Ankerstjerne	Andreas “Maskinen” Sommer	77
Ankerstjerne	Salazar (DNK)	74
Ankerstjerne	Jooks	108
Ankerstjerne	Daniel Schulz	72
Ankerstjerne	Panamah	71
Ankerstjerne	Sigvardt	72
Ankerstjerne	L.O.C.	81
Ankerstjerne	Malthe Rostrup	72
Ankerstjerne	Shaka Loveless	76
Ankerstjerne	Isaac Kasule	74
Ankerstjerne	Pede B	257
Ankerstjerne	Bjørnskov	73
Ankerstjerne	Xander Linnet	129
Ankerstjerne	Caroline Franceska	72
Ankerstjerne	Kinck	72
Ankerstjerne	Nicky Namah Furdal	73
Ankerstjerne	Tory Lanez	71
Ankerstjerne	Ben Thompson (DNK)	72
Ankerstjerne	Providers	77
Ankerstjerne	Ianick	72
Ankerstjerne	Puma	73
Ankerstjerne	Volkan (DNK)	72
Ankerstjerne	Livid	80
Ankerstjerne	DB King	73
Ankerstjerne	Kaka (DNK)	74
Ankerstjerne	Denz (DNK)	71
Ankerstjerne	Papan	71
Ankerstjerne	Lars Virkli	71
Ankerstjerne	​​andreas odbjerg	78
Ankerstjerne	Cisilia	75
Ankerstjerne	Simon Sigfridsson	73
Ankerstjerne	Jon & Jules	75
Ankerstjerne	Svea S	73
Ankerstjerne	Omar (DNK)	73
Ankerstjerne	Bjórn & Scheffmann	74
Ankerstjerne	Stepz (DNK)	82
Ankerstjerne	Sivas	93
Ankerstjerne	Outlandish	73
Ankerstjerne	Sarah West	73
Ankerstjerne	MORTEN (DNK)	73
Ankerstjerne	Jimilian	114
Ankerstjerne	Zophia	71
Ankerstjerne	Beautiful	71
Ankerstjerne	Ole Bjørn	74
Ankerstjerne	Jo Blaq	72
Ankerstjerne	Cornstick	72
Ankerstjerne	Carl Knast	75
Ankerstjerne	Alberte	74
Ankerstjerne	LARS (DNK)	72
Ankerstjerne	​iSaac (DNK)	71
Ankerstjerne	Jerome (DNK)	71
Ankerstjerne	Kwamé (DNK)	71
Ankerstjerne	Dayzon	73
Ankerstjerne	Face (DNK)	75
Ankerstjerne	​jyll	72
Ankerstjerne	Nabil Nafar	71
Ankerstjerne	Jay Made	74
Ankerstjerne	barejegvarmig	71
Ankerstjerne	René Cambony	74
Ankerstjerne	Johanne Milland	72
Ankerstjerne	Hooman Beats	73
WHO KILLED BAMBI	Tróndur Bogason	16
WHO KILLED BAMBI	Asbjørn	17
WHO KILLED BAMBI	Søs Fenger	18
WHO KILLED BAMBI	Ida Wenøe	16
WHO KILLED BAMBI	Eivør	18
WHO KILLED BAMBI	Kellermensch	16
WHO KILLED BAMBI	Lydmor	17
WHO KILLED BAMBI	Wangel	16
WHO KILLED BAMBI	CoDy	16
WHO KILLED BAMBI	Therese Aune	16
WHO KILLED BAMBI	Julie Maria	16
WHO KILLED BAMBI	Sandra Kolstad	16
WHO KILLED BAMBI	Bjørn Fjæstad	16
WHO KILLED BAMBI	Jonas H. Petersen	16
WHO KILLED BAMBI	Baloosh	41
Odense Assholes	PhaFalAion	4
Odense Assholes	LB Boogie	3
Ude Af Kontrol	Pattesutter	29
Ude Af Kontrol	Balken	21
Ude Af Kontrol	Chriz & Heino	19
Ude Af Kontrol	Faustix	20
Ude Af Kontrol	Stewart Stardust	18
Ude Af Kontrol	Soppgirobygget	18
Ude Af Kontrol	HEDEGAARD	24
Ude Af Kontrol	RH	20
Ude Af Kontrol	Wawy	18
Ude Af Kontrol	Eiqu	18
Ude Af Kontrol	Specktors	19
Ude Af Kontrol	Pede B	204
Ude Af Kontrol	Alex Skrindo	19
Ude Af Kontrol	SP (DNK)	18
Ude Af Kontrol	Murro	24
Østen	Frederik Thaae	21
Østen	Adam Hillebrandt	21
Østen	Bjórn & Scheffmann	16
Østen	Anders Skadhede	13
Østen	Malthe Rostrup	14
Østen	Daniel Joy	13
Østen	Frederik Haumann	13
Østen	Emil Emborg	13
Østen	Frédéric Riesterer	13
Østen	Andreas Wilson	13
Mads Langer	Christopher	72
Mads Langer	Lukas Graham	76
Mads Langer	Jada	72
Mads Langer	Don Stefano	73
Mads Langer	Saint clara	70
Mads Langer	Henry Flint	67
Mads Langer	George Flint	67
Mads Langer	Morten Woods	67
Mads Langer	Boe Larsen	67
Mads Langer	Andreas “Maskinen” Sommer	73
Mads Langer	Søren Balsner	67
Mads Langer	Jamie Hartman	67
Mads Langer	Nikolaj Steen	67
Mads Langer	Oliver McEwan	67
Mads Langer	Martin Terefe	67
Mads Langer	Scott Effman	67
Mads Langer	KEWAN LIGGER BEATET NORMALT	85
Mads Langer	Rasmus Bille Bähncke	67
Mads Langer	Søren Mikkelsen	69
Mads Langer	Jack & Coke	67
Mads Langer	Joe Rangel	67
Mads Langer	Chris Mollere	67
Mads Langer	Ben Harrison	67
Mads Langer	Ayb Asmar	67
Mads Langer	Stuart Crichton	67
Mads Langer	Eg White	67
Mads Langer	C.V. Jørgensen	67
Mads Langer	Poul Martin Bonde	67
Mads Langer	Knud Møller	67
Mads Langer	Sune Rose Wagner	67
Mads Langer	1993	67
Mads Langer	Lauritz Emil Christiansen	68
Mads Langer	SLY	71
Mads Langer	Mikkel Damgaard	67
Mads Langer	Coco O.	69
Mads Langer	Fridolin Nordsø	79
Mads Langer	Frederik Nordsø	77
Mads Langer	Ida Madsen	67
Mads Langer	René Cambony	70
Mads Langer	Kephoi	73
Mads Langer	Mike Lowrey	77
Mads Langer	Oliver Cilwik	73
Mads Langer	Alex Niceforo	67
Mads Langer	​Johnson	73
Mads Langer	Tim Christensen	67
Mads Langer	Jesper Faaborg	67
Mads Langer	Remee	71
Mads Langer	Ronni Vindahl	69
Mads Langer	Ole Bjørn	70
Mads Langer	Sammy Witte	67
Mads Langer	Tommy Tysper	67
Mads Langer	Pete Smith	67
Mads Langer	Dicte	67
Mads Langer	Cole M.G.N.	67
Mads Langer	Ethan Allen	67
Mads Langer	Faustix	69
Mads Langer	Lenno	67
Mads Langer	Richard Craker	67
Mads Langer	E. Kidd Bogart	67
Mads Langer	Carl Wikström Ask	67
Mads Langer	Lárus Örn Arnarson	67
Mads Langer	Anthony Watts	67
Mads Langer	Karl William	103
Blaue Blume	Aske Rud Jørgensen	10
Blaue Blume	Nis Bysted	10
Blaue Blume	Søren Jensen Buhl	11
Blaue Blume	Robert Jensen Buhl	10
Blaue Blume	Jonas Holst Schmidt	10
Blaue Blume	Guldimund	10
Blaue Blume	Buster Jensen	10
Blaue Blume	Søren Buhl Lassen	12
Blaue Blume	Peter Bøgvad Hansen	10
Barselona	Goss	12
Barselona	Rasmus Theodor	12
Barselona	Rud Aslak	12
Barselona	Thøger Dixgaard	15
Barselona	Peter Sommer	12
Barselona	Mahler & Bir	12
Barselona	Frederik Thaae	20
Barselona	Karl-Frederik Reichhardt	16
Barselona	Victor Groth	13
Barselona	Søren Buhl Lassen	14
Freja Kirk	Jonathan Elkær	26
Freja Kirk	Oliver Cilwik	25
Freja Kirk	Reza	22
Freja Kirk	Alexander Grandjean	19
Freja Kirk	Frederik Thaae	27
Freja Kirk	Engelina	19
Freja Kirk	Karl-Frederik Reichhardt	23
Freja Kirk	Marco Twellmann	19
Freja Kirk	Marcus Liliequist	19
Freja Kirk	Granity	19
Freja Kirk	Kasper Svare	23
Freja Kirk	Villads Bertelsen	19
Freja Kirk	Cy Fyre	19
Freja Kirk	Andreas Stigkær	19
Freja Kirk	Nimota Ayinke Abimbola	19
Freja Kirk	Nicolai Kornerup	19
Freja Kirk	ANYA (DNK)	19
Danseorkestret	Jacob Andersen	7
Danseorkestret	Rasmus Kærså	7
Danseorkestret	Jørn Pedersen	7
Danseorkestret	Stig Kreutzfeldt	8
Danseorkestret	Jørgen Klubien	7
Danseorkestret	Poul Borum	7
Folkeklubben	Nikolaj Vinten	11
Folkeklubben	Kasper Rasmussen	11
Folkeklubben	Frederik Thaae	19
Folkeklubben	Mads Brinch Nielsen	11
Folkeklubben	Orgi-E	24
Folkeklubben	Kjartan Arngrim	11
Folkeklubben	Rasmus Dall	11
Folkeklubben	Rasmus Jusjong	11
Folkeklubben	Rune Rask	110
Kim Larsen	Poul Bruun	44
Kim Larsen	Stig Kreutzfeldt	45
Kim Larsen	Sonny Limbo	44
Kim Larsen	Roy Thomas Baker	44
Kim Larsen	Nils Henriksen	44
Kim Larsen	Tommy Georg Bogs	44
Kim Larsen	Henning Pold	44
Kim Larsen	Gasolin’	44
Kim Larsen	Tritonus Koret	44
Kim Larsen	Franz Beckerlee	44
Kim Larsen	Wili Jønsson	44
Kim Larsen	Rugsted & Kreutzfeldt	44
Kim Larsen	Max Lorentz	44
Kim Larsen	Henrik Lund	44
Kim Larsen	Søren Mikkelsen	46
Kim Larsen	Per “Klit” Rasmussen	44
Kim Larsen	Erik Clausen	45
Kim Larsen	Kim Hyttel	44
Kim Larsen	Harald Herdahl	44
Kim Larsen	William Rieflin	44
Kim Larsen	The Samba Brothers	44
Kim Larsen	Kim Larsen & Kjukken	44
Kim Larsen	Peter Ingemann	44
Kim Larsen	Kathrine Jensenius	44
Kim Larsen	Mogens Mogensen	44
Kim Larsen	Karsten Skovgaard	44
Kim Larsen	Ove Abildgaard	44
Kim Larsen	Thomas Helmig	47
Kim Larsen	Joe Delia	44
Kim Larsen	Nick Sylvester	44
Kim Larsen	Hans Fagt	44
Kim Larsen	Jesper Rosenqvist	44
Kim Larsen	DJ Peyk	46
Kim Larsen	Peter Lund Madsen	44
Kim Larsen	Anders Lund Madsen	44
Kim Larsen	Gustav Winckler	44
Kim Larsen	Darwich	44
Kim Larsen	Steven Lemberg	44
Kim Larsen	MC Swan	45
Kim Larsen	MC Pete	44
Kim Larsen	Master Phoze	44
Kim Larsen	Chief 1	47
Kim Larsen	Grandmaster Dee Pee	44
Gnags	Peter A.G.	10
Gnags	Jack Nuber	9
Gnags	Karl Pitterson	9
Gnags	Anne Seier	9
Gnags	Per Christian Frost	9
Gnags	Pharfar	12
Gnags	Fresh-I	13
Gnags	Jakob Groth	9
Tommy Seebach	Seebach & Seebach	18
Tommy Seebach	Cai Leitner	13
Tommy Seebach	Keld Heick	13
Tommy Seebach	Ivan Pedersen	13
Tommy Seebach	Martin Sommer	14
Tommy Seebach	Debbie Cameron	13
Tommy Seebach	KEWAN LIGGER BEATET NORMALT	31
Tommy Seebach	Hasan Shah	15
Tommy Seebach	Annette Heick	13
Tommy Seebach	Søren Bundgaard	13
Tommy Seebach	Per Stan	14
Tommy Seebach	Ómar Óskarsson	13
Jesu Brødre	Sidney Lee	18
Jesu Brødre	ADHD	18
Jesu Brødre	Anders Hemmingsen	18
Jesu Brødre	Georg Svendsen	19
Jesu Brødre	William Kruse	18
Jesu Brødre	Alfred Thomas	20
Jesu Brødre	Niels Olsen	18
Jesu Brødre	Shambs	18
Jesu Brødre	Klam Vandmand	18
Jesu Brødre	Lina Rafn	19
Jesu Brødre	H1TMAKERS	19
Jesu Brødre	Chris	18
Jesu Brødre	Rossen	18
Jesu Brødre	Ratiarti	18
Jesu Brødre	Klukkie Hanni	18
